Support,Pattern,Decoded_Pattern
29,"[27, 21]","[['?'], ['?']]"
29,"[27, 0]","[['?'], ['?']]"
29,"[27, 44]","[['?'], ['?']]"
29,"[27, 1]","[['?'], ['?']]"
29,"[35, 43]","[['?'], ['?']]"
29,"[21, 11]","[['?'], ['?']]"
29,"[21, 20]","[['?'], ['?']]"
29,"[21, 7]","[['?'], ['?']]"
29,"[21, 17]","[['?'], ['?']]"
29,"[30, 4]","[['?'], ['?']]"
29,"[13, 18]","[['?'], ['?']]"
29,"[45, 18]","[['?'], ['?']]"
29,"[18, 38, 27]","[['?'], ['?'], ['?']]"
29,"[18, 27, 43]","[['?'], ['?'], ['?']]"
29,"[18, 18, 39]","[['?'], ['?'], ['?']]"
29,"[18, 45]","[['?'], ['?']]"
29,"[44, 38]","[['?'], ['?']]"
29,"[24, 18]","[['?'], ['?']]"
29,"[24, 43]","[['?'], ['?']]"
29,"[15, 27]","[['?'], ['?']]"
28,"[19, 11]","[['?'], ['?']]"
28,"[43, 27, 38]","[['?'], ['?'], ['?']]"
28,"[43, 0]","[['?'], ['?']]"
28,"[4, 31]","[['?'], ['?']]"
28,"[4, 22, 4]","[['?'], ['?'], ['?']]"
28,"[4, 4, 4, 4]","[['?'], ['?'], ['?'], ['?']]"
28,"[4, 18, 39]","[['?'], ['?'], ['?']]"
28,"[4, 47]","[['?'], ['?']]"
28,"[22, 38, 27]","[['?'], ['?'], ['?']]"
28,"[22, 22, 27]","[['?'], ['?'], ['?']]"
28,"[28, 4]","[['?'], ['?']]"
28,"[28, 43]","[['?'], ['?']]"
28,"[41, 43]","[['?'], ['?']]"
28,"[41, 27]","[['?'], ['?']]"
28,"[38, 22, 27]","[['?'], ['?'], ['?']]"
28,"[38, 45]","[['?'], ['?']]"
28,"[1, 38]","[['?'], ['?']]"
28,"[27, 31]","[['?'], ['?']]"
28,"[27, 27, 18]","[['?'], ['?'], ['?']]"
28,"[21, 18]","[['?'], ['?']]"
