minsup,Pattern,Support
10,"[(12,), (12,), (12,), (7, 8), (8,)]",16
10,"[(12,), (12,), (12,), (7, 8), (7, 8), (8,)]",11
10,"[(12,), (12,), (12,), (7, 8), (7, 8)]",14
10,"[(12,), (12,), (12,), (7, 8), (7,), (7, 8)]",10
10,"[(12,), (12,), (12,), (7, 8), (7,)]",11
10,"[(12,), (12,), (12,), (7, 8)]",22
10,"[(12,), (12,), (12,), (7,), (66,)]",10
10,"[(12,), (12,), (12,), (7,), (12,), (12,), (8,)]",10
10,"[(12,), (12,), (12,), (7,), (12,), (12,), (7, 8), (8,)]",10
10,"[(12,), (12,), (12,), (7,), (12,), (12,), (7, 8)]",10
10,"[(12,), (12,), (12,), (7,), (12,), (12,)]",13
10,"[(12,), (12,), (12,), (7,), (12,), (8,)]",11
10,"[(12,), (12,), (12,), (7,), (12,), (7, 8), (8,)]",10
10,"[(12,), (12,), (12,), (7,), (12,), (7, 8)]",10
10,"[(12,), (12,), (12,), (7,), (12,), (7,), (12,)]",11
10,"[(12,), (12,), (12,), (7,), (12,), (7,)]",12
10,"[(12,), (12,), (12,), (7,), (12,)]",19
10,"[(12,), (12,), (12,), (7,), (8,), (7, 8)]",11
10,"[(12,), (12,), (12,), (7,), (8,)]",15
10,"[(12,), (12,), (12,), (7,), (7, 8), (8,)]",13
10,"[(12,), (12,), (12,), (7,), (7, 8)]",17
10,"[(12,), (12,), (12,), (7,), (7,), (12,)]",12
10,"[(12,), (12,), (12,), (7,), (7,), (8,)]",10
10,"[(12,), (12,), (12,), (7,), (7,), (7, 8), (8,)]",10
10,"[(12,), (12,), (12,), (7,), (7,), (7, 8)]",11
10,"[(12,), (12,), (12,), (7,), (7,)]",15
10,"[(12,), (12,), (12,), (7,)]",26
10,"[(12,), (12,), (12,)]",61
10,"[(12,), (12,), (8,), (66,)]",11
10,"[(12,), (12,), (8,), (12,), (66,)]",11
10,"[(12,), (12,), (8,), (12,), (12,), (12,), (12,), (12,)]",10
10,"[(12,), (12,), (8,), (12,), (12,), (12,), (12,)]",10
10,"[(12,), (12,), (8,), (12,), (12,), (12,)]",11
10,"[(12,), (12,), (8,), (12,), (12,), (8,)]",10
10,"[(12,), (12,), (8,), (12,), (12,), (7,)]",10
10,"[(12,), (12,), (8,), (12,), (12,)]",15
10,"[(12,), (12,), (8,), (12,), (8,), (12,)]",12
