minsup,Pattern,Support
10,10,"[(12,), (66,), (62,)]"
10,10,"[(12,), (66,), (12,), (12,), (12,), (12,)]"
10,13,"[(12,), (66,), (12,), (12,), (12,)]"
10,10,"[(12,), (66,), (12,), (12,), (8,)]"
10,13,"[(12,), (66,), (12,), (12,)]"
10,11,"[(12,), (66,), (12,), (8,)]"
10,17,"[(12,), (66,), (12,)]"
10,16,"[(12,), (66,), (8,)]"
10,11,"[(12,), (66,), (7, 8)]"
10,13,"[(12,), (66,), (7,)]"
10,34,"[(12,), (66,)]"
10,21,"[(12,), (62,)]"
10,14,"[(12,), (61, 62)]"
10,11,"[(12,), (61,), (12,)]"
10,10,"[(12,), (61,), (8,)]"
10,11,"[(12,), (61,), (7, 8)]"
10,14,"[(12,), (61,), (7,)]"
10,28,"[(12,), (61,)]"
10,19,"[(12,), (30,)]"
10,10,"[(12,), (18,), (18,)]"
10,10,"[(12,), (18,), (7,)]"
10,19,"[(12,), (18,)]"
10,12,"[(12,), (14,)]"
10,10,"[(12,), (13, 14)]"
10,11,"[(12,), (13,), (12,)]"
10,18,"[(12,), (13,)]"
10,13,"[(12,), (12,), (66,), (12,)]"
10,11,"[(12,), (12,), (66,), (8,)]"
10,21,"[(12,), (12,), (66,)]"
10,10,"[(12,), (12,), (62,)]"
10,10,"[(12,), (12,), (61,), (12,)]"
10,20,"[(12,), (12,), (61,)]"
10,14,"[(12,), (12,), (18,)]"
10,15,"[(12,), (12,), (13,)]"
10,10,"[(12,), (12,), (12,), (66,), (12,)]"
10,15,"[(12,), (12,), (12,), (66,)]"
10,14,"[(12,), (12,), (12,), (61,)]"
10,11,"[(12,), (12,), (12,), (18,)]"
10,15,"[(12,), (12,), (12,), (12,), (12,), (12,), (12,)]"
10,14,"[(12,), (12,), (12,), (12,), (12,), (12,), (8,)]"
10,10,"[(12,), (12,), (12,), (12,), (12,), (12,), (7, 8), (8,)]"
10,12,"[(12,), (12,), (12,), (12,), (12,), (12,), (7, 8)]"
10,10,"[(12,), (12,), (12,), (12,), (12,), (12,), (7,), (12,)]"
10,10,"[(12,), (12,), (12,), (12,), (12,), (12,), (7,)]"
10,19,"[(12,), (12,), (12,), (12,), (12,), (12,)]"
10,10,"[(12,), (12,), (12,), (12,), (12,), (8,), (12,)]"
10,10,"[(12,), (12,), (12,), (12,), (12,), (8,), (8,)]"
10,15,"[(12,), (12,), (12,), (12,), (12,), (8,)]"
10,10,"[(12,), (12,), (12,), (12,), (12,), (7, 8), (12,)]"
10,12,"[(12,), (12,), (12,), (12,), (12,), (7, 8), (8,)]"
10,14,"[(12,), (12,), (12,), (12,), (12,), (7, 8)]"
10,12,"[(12,), (12,), (12,), (12,), (12,), (7,), (12,)]"
10,10,"[(12,), (12,), (12,), (12,), (12,), (7,), (8,)]"
10,11,"[(12,), (12,), (12,), (12,), (12,), (7,), (7, 8)]"
10,12,"[(12,), (12,), (12,), (12,), (12,), (7,)]"
10,23,"[(12,), (12,), (12,), (12,), (12,)]"
10,13,"[(12,), (12,), (12,), (12,), (8,), (12,)]"
10,13,"[(12,), (12,), (12,), (12,), (8,), (8,)]"
10,10,"[(12,), (12,), (12,), (12,), (8,), (7, 8)]"
10,21,"[(12,), (12,), (12,), (12,), (8,)]"
10,10,"[(12,), (12,), (12,), (12,), (7, 8), (12,)]"
10,13,"[(12,), (12,), (12,), (12,), (7, 8), (8,)]"
10,12,"[(12,), (12,), (12,), (12,), (7, 8), (7, 8)]"
10,17,"[(12,), (12,), (12,), (12,), (7, 8)]"
10,11,"[(12,), (12,), (12,), (12,), (7,), (12,), (12,)]"
10,10,"[(12,), (12,), (12,), (12,), (7,), (12,), (8,)]"
10,10,"[(12,), (12,), (12,), (12,), (7,), (12,), (7,)]"
10,15,"[(12,), (12,), (12,), (12,), (7,), (12,)]"
10,12,"[(12,), (12,), (12,), (12,), (7,), (8,)]"
10,11,"[(12,), (12,), (12,), (12,), (7,), (7, 8), (8,)]"
